Index,Year,H0,eH0,ObsType,Reference
487,2003.45,75,6.5,LC,"Koopmans, L., Treu, Y., Fassnacht, C, Blandford, R. \& Surpi, G. 2003, ApJ in press. astroph0306216. B1608+656"
488,2003.648,72,7,AK,"Freedman, W. \& Turner, M. 2003, Rev. Mod. Phys. 75, 1433. Astroph0308418."
489,2003.728,58,3.5,ZC,"Sereno, M. 2003, A\&A 412, 341. astroph0309591"
490,2003.74,72,8,S,"Filippenko, A. 2004, in {\it The Early Universe and Observational Cosmology,} ed. N. Breton, J. L. Cervantes-Cota \& M. Salgado (New York: Springer-Verlag), Le"
491,2003.825,70,3.5,CC,"Tegmark, M. et al. 2004, ApJ in press. astroph0310723. SDSS+WMAP"
492,2003.9,68,2,OC,"Allen, S., Schmidt, R. \& Bridle, S. 2003, MNRAS 346, 593."
493,2003.94,78,6,LC,"Wucknitz, O., Biggs, A. \& Browne, I. 2004, MNRAS 349, 14. astroph0312263.  B0218+357"
494,2004.04,71,3,S,"Altavilla, G. et al. 2004, MNRAS in press. astroph0401273. SN I."
495,2004.109,31,18,ZC,"Grego, L. et al. 2004, ApJ 608, 731. astroph0402139. SZ on MS1137.5+6625"
496,2004.141,73,7,CC,"Rebolo, R. et al, 2004, astro-ph/0402466.  CMB fit"
497,2004.15,69,8,CK,"Sakai, S., Ferrarese, L., Kennicutt, R. \& Saha, A. 2004, ApJ 608, 42. astroph0402499 Ceph Fe/H recal"
498,2004.347,70,5,LC,"York, T. et al. 2005, MNRAS 357, 124. astro-ph/0405115. CLASS B0218+357"
499,2004.35,57,14.5,OC,"Odman, C., Hobson,M., Lasenby, A. \& Melchiorri, A. 2004, IJMP-D 13, 1661. astro-ph/0405118. LSS+SN"
500,2004.387,69,8,ZC,"Schmidt, R., Allen, S. \& Fabian, A. 2004, MNRAS 352, 1413. SZ astro-ph/0405374"
501,2004.409,67,5,ZC,"Fosalba, P. \& Szapudi, I. 2004, ApJL in press. WMAP reanalysed. astroph0405589"
502,2004.42,75,8,LC,"Koopmans, L. \& Blandford, R. 2004, Physics Today June issue. B1608+656/"
503,2004.5,73,3,OC,"Lahav, O. \& Liddle, A. 2004, in Review of Particle Physics. S. Eidelman et al. (Particle Data Group), Physics Letters B592, 1. astro-ph/0406681"
504,2004.518,56,23,LC,"Tortora, C., Piedipalumbo, E. \& Cardone, V. 2004, MNRAS in press. astro-ph/0407134."
505,2004.52,49,8.5,LC,"Tortora, C., Piedipalumbo, E. \& Cardone, V. 2004, MNRAS in press. astro-ph/0407134."
506,2004.55,72,7,AK,"Freedman, W. \& Turner, M. 2004, in {\it Measuring and Modeling the Universe}, pg. 79. The Carnegie Observatories Centennial  Symposia (Cambridge: Cambridge)."
507,2004.584,67,10.5,ZC,"Udomprasert, P., Mason, B., Readhead, A. \& Pearson, T. 2004, ApJ in press. Astroph04080005"
508,2004.68,78,6,LC,"Schechter, P. 2004, in {\it IAU Symposium No. 225: The Impact of Gravitational Lensing on Cosmology,} Y. Mellier and G. Meylan, eds. astro-ph/0408338."
509,2004.7,64,8,LC,"Jakobsson, P., Hjorth, J., Burud, I., Letawe, G., Lidman, C. \& Courbin, F. 2004, A\&A in press. FBQ0951+2635 lens. Astroph04094444"
510,2004.91,70,7,CC,"Chu, M. et al. ApJ in press. Asroph0411737. CMB fits."
511,2004.92,76,6,LC,"Brynjolfsson, A. astroph0411666. Lensing in Plasma Cosmo"
512,2005.58,73,5,S,"Riess, A., Li, W., Stetson, P., Filippenko, A.V., Jha, S., Kirshner, R., Challis, P., Garnavich, P. \& Chornock, R. 2005, ApJ 627, 579. (N3370 + N3982)"
513,2005.6,74,2,OC,"Sanchez, A. et al. 2005, MNRAS 366, 189. Astroph0507583 2dF"
514,2005.9,60,7,A,"Paturel, P \& Teerikorpi, P. A\&A 443, 883."
515,2005.95,77,9,ZC,"Bonamente, M. et al. ApJ in press. Astroph0512349 38 Cluster SZ"
516,2005.97,63,5,SS,"Tammann, G. 2006, Rev. Mod. Astron. 19, 1. Astroph0512584."
517,2006.2,72,6,SC,"Wang, X., Wang, L., Pain, R., Zhou, X. \& Li, Z. 2006, ApJ in press. astroph0603392 109 SN"
518,2006.218,73,3,CC,"Spergel, D. et al. 2006, ApJ in press. Astroph0603449. WMAP 3rd year"
